epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.827,2.77445,5.68424,2.98217,0.73529,0.03356,0.38399,0.2613,3.08035,7.04021,3.29845,0.000551392,0.000551392,0.000551392
2,310.209,2.93018,4.45198,3.02388,0.44471,0.34558,0.38351,0.24465,3.23531,6.70371,3.49566,0.00108514,0.00108514,0.00108514
3,469.546,2.97436,3.9642,3.00666,0.52088,0.32639,0.41221,0.24415,3.11521,5.30569,3.36805,0.00159688,0.00159688,0.00159688
4,624.553,2.96262,3.56861,2.98603,0.45048,0.53321,0.46472,0.24448,3.14944,4.36275,3.21782,0.00156798,0.00156798,0.00156798
5,762.695,2.89137,3.42934,2.90975,0.53127,0.40177,0.45867,0.26875,3.05183,3.5491,3.19412,0.00153497,0.00153497,0.00153497
6,919.877,2.84213,3.15677,2.86406,0.6074,0.52869,0.58216,0.3605,2.9506,3.10619,3.09749,0.00150197,0.00150197,0.00150197
7,1076.23,2.76697,3.01722,2.8182,0.5756,0.60095,0.61201,0.38971,2.77404,3.38061,2.89575,0.00146896,0.00146896,0.00146896
8,1231.29,2.83575,2.89185,2.88782,0.66956,0.50869,0.60337,0.39677,2.85179,2.79723,2.99671,0.00143595,0.00143595,0.00143595
9,1389.83,2.76386,2.83182,2.81861,0.6145,0.61638,0.62969,0.39844,2.71744,3.38374,2.89307,0.00140295,0.00140295,0.00140295
10,1552.57,2.74431,2.7235,2.78144,0.7331,0.56426,0.66097,0.44257,2.72766,2.53282,2.90781,0.00136994,0.00136994,0.00136994
11,1721.63,2.63101,2.52518,2.73926,0.73031,0.58447,0.69095,0.44717,2.81369,2.48636,2.8886,0.00133693,0.00133693,0.00133693
12,1882.06,2.67348,2.53048,2.76244,0.71832,0.61222,0.68622,0.43971,2.71273,2.4876,2.87388,0.00130393,0.00130393,0.00130393
13,2041.44,2.59874,2.39007,2.73208,0.74788,0.57227,0.68467,0.45544,2.75521,2.47591,2.86516,0.00127092,0.00127092,0.00127092
14,2199.97,2.61447,2.41212,2.74047,0.65717,0.61977,0.65094,0.42755,2.67799,2.63152,2.83364,0.00123791,0.00123791,0.00123791
15,2356.4,2.60726,2.35926,2.68958,0.6767,0.65231,0.69869,0.44839,2.76409,2.29693,2.91194,0.00120491,0.00120491,0.00120491
16,2616.6,2.59372,2.34724,2.68149,0.77998,0.56411,0.68467,0.46675,2.67453,2.40111,2.84187,0.0011719,0.0011719,0.0011719
17,2950.49,2.52128,2.26107,2.66201,0.72821,0.63798,0.72106,0.49557,2.55664,2.28402,2.73448,0.00113889,0.00113889,0.00113889
18,3300.77,2.59029,2.32305,2.68546,0.71128,0.60901,0.67357,0.45141,2.6462,2.28142,2.80508,0.00110589,0.00110589,0.00110589
19,3654.74,2.51228,2.17418,2.66208,0.71078,0.67888,0.71564,0.4738,2.62926,2.25938,2.75904,0.00107288,0.00107288,0.00107288
20,4004.26,2.51956,2.18572,2.64094,0.71194,0.63694,0.70238,0.49152,2.54895,2.14703,2.67208,0.00103987,0.00103987,0.00103987
21,4360.01,2.47105,2.11419,2.64557,0.83531,0.55865,0.70515,0.49302,2.60721,2.20864,2.73825,0.00100687,0.00100687,0.00100687
22,4712.16,2.53585,2.12984,2.66426,0.70687,0.70239,0.73778,0.51336,2.56759,2.08798,2.74018,0.000973861,0.000973861,0.000973861
23,5060.23,2.48408,2.06378,2.63244,0.71455,0.65163,0.71362,0.45989,2.75592,2.26821,2.82466,0.000940855,0.000940855,0.000940855
24,5406.46,2.45763,2.01027,2.61904,0.7556,0.65698,0.73105,0.50434,2.50096,2.06071,2.69265,0.000907848,0.000907848,0.000907848
25,5570.74,2.43877,2.00773,2.60437,0.74518,0.68237,0.74159,0.50957,2.55923,2.03671,2.70013,0.000874842,0.000874842,0.000874842
26,6757.84,2.44081,2.03627,2.63518,0.72565,0.69425,0.73114,0.48228,2.55275,2.20314,2.70975,0.000841835,0.000841835,0.000841835
27,7105.62,2.4431,2.00085,2.5982,0.77421,0.69007,0.75243,0.51059,2.53574,2.12032,2.70662,0.000808828,0.000808828,0.000808828
28,7445.08,2.38644,1.98787,2.59018,0.71593,0.69146,0.72918,0.50713,2.52687,2.03502,2.68258,0.000775822,0.000775822,0.000775822
29,7791.21,2.43537,1.92853,2.60175,0.77996,0.64325,0.74046,0.5138,2.54381,1.97993,2.67147,0.000742815,0.000742815,0.000742815
30,8091.68,2.40099,1.95341,2.61059,0.75657,0.6977,0.75572,0.51644,2.53111,1.96728,2.67422,0.000709809,0.000709809,0.000709809
31,8236.84,2.35576,1.87622,2.57194,0.76764,0.69319,0.75449,0.53087,2.48588,1.94871,2.63779,0.000676802,0.000676802,0.000676802
32,8383.8,2.35553,1.90774,2.5683,0.70653,0.70018,0.74124,0.52396,2.45814,2.00481,2.6049,0.000643795,0.000643795,0.000643795
33,8535.4,2.34826,1.92658,2.56457,0.79046,0.68129,0.75441,0.52376,2.50127,1.93586,2.6682,0.000610789,0.000610789,0.000610789
34,8679.21,2.32745,1.83206,2.53956,0.76774,0.68236,0.75122,0.52053,2.48796,1.96026,2.63239,0.000577782,0.000577782,0.000577782
35,8821.59,2.28752,1.83328,2.51963,0.77983,0.69408,0.76001,0.52557,2.4893,1.947,2.63361,0.000544776,0.000544776,0.000544776
36,8961.91,2.26116,1.78886,2.53187,0.78141,0.72779,0.77699,0.537,2.48669,1.90666,2.63304,0.000511769,0.000511769,0.000511769
37,9112.16,2.25711,1.74575,2.49887,0.73428,0.67992,0.74013,0.50576,2.48484,2.02823,2.61762,0.000478762,0.000478762,0.000478762
38,10110.8,2.27235,1.79424,2.52532,0.7282,0.67293,0.73086,0.50822,2.48634,2.0346,2.6734,0.000445756,0.000445756,0.000445756
39,10290.4,2.22588,1.74427,2.50498,0.72736,0.71499,0.74958,0.52951,2.45952,1.93528,2.64945,0.000412749,0.000412749,0.000412749
40,10439.3,2.22624,1.77171,2.505,0.75465,0.66873,0.73355,0.51653,2.48319,1.96496,2.62953,0.000379743,0.000379743,0.000379743
41,10584.6,1.97208,1.48533,2.47921,0.71645,0.6883,0.73114,0.51164,2.45244,2.00059,2.6079,0.000346736,0.000346736,0.000346736
42,10727.3,1.94937,1.35991,2.44996,0.75705,0.72568,0.77423,0.54134,2.45538,1.8629,2.60898,0.000313729,0.000313729,0.000313729
43,10879,1.90241,1.304,2.43699,0.77608,0.72504,0.76519,0.5309,2.47021,1.85445,2.60609,0.000280723,0.000280723,0.000280723
44,11029.7,1.88253,1.33638,2.41193,0.78248,0.72114,0.77504,0.53763,2.439,1.77283,2.59204,0.000247716,0.000247716,0.000247716
45,11180.6,1.92017,1.29443,2.45541,0.75493,0.72673,0.76849,0.53415,2.46659,1.8246,2.63626,0.00021471,0.00021471,0.00021471
46,11331.6,1.89668,1.2788,2.40372,0.78336,0.71444,0.76999,0.5393,2.43779,1.80971,2.60654,0.000181703,0.000181703,0.000181703
47,11523.7,1.85068,1.26254,2.38958,0.78251,0.70995,0.76759,0.53608,2.43921,1.81935,2.60634,0.000148696,0.000148696,0.000148696
